"Index" "DOV.Open" "DOV.High" "DOV.Low" "DOV.Close" "DOV.Volume" "DOV.Adjusted"
"2010-10-05" 35.30658 36.519886 35.30658 36.412632 3010731 28.367844
"2010-10-06" 36.499775 36.533291 35.970211 36.184719 2737136 28.190287
"2010-10-07" 36.392521 36.747799 35.970211 36.660656 4225794 28.561081
"2010-10-08" 36.674065 36.794724 36.010429 36.560104 4764330 28.48275
"2010-10-11" 36.560104 36.707581 36.077465 36.245049 1729283 28.237295
"2010-10-12" 36.198124 36.48637 35.722187 36.23164 2770403 28.226837
"2010-10-13" 36.841648 36.848351 36.533291 36.660656 2333010 28.561081
"2010-10-14" 36.687469 36.781315 35.903175 36.224937 3355483 28.22163
"2010-10-15" 36.499775 36.647247 35.816032 36.211533 2368067 28.21118
"2010-10-18" 36.365707 36.399223 35.628338 35.923286 3211824 27.986616
"2010-10-19" 35.313282 35.63504 35.031738 35.313282 4090488 27.511391
"2010-10-20" 35.507679 36.291969 35.467461 36.064056 2453398 28.096287
"2010-10-21" 36.238346 36.747799 36.144497 36.727692 3112471 28.613302
"2010-10-22" 35.943398 35.943398 34.669758 35.648449 6827624 27.772512
"2010-10-25" 36.010429 36.45285 35.675262 35.795921 3007449 27.8874
"2010-10-26" 35.49427 35.822735 35.30658 35.641747 2019585 27.767284
"2010-10-27" 35.299873 35.521084 34.964706 35.440643 1828935 27.610609
"2010-10-28" 35.675262 35.923286 35.145699 35.474163 1421676 27.636721
"2010-10-29" 35.313282 35.681965 35.239544 35.594822 2506655 27.73073
"2010-11-01" 35.695374 36.191422 35.561306 35.876362 2089699 27.95006
"2010-11-02" 36.271862 36.278564 36.023838 36.151199 1489552 28.164179
"2010-11-03" 36.332191 36.338894 35.681965 36.23164 982344 28.226837
"2010-11-04" 36.714283 37.297474 36.59362 37.009232 3261799 28.832645
"2010-11-05" 37.036045 37.12989 36.734394 36.922089 2953147 28.764734
"2010-11-08" 36.694172 36.855053 36.345596 36.560104 1912326 28.48275
"2010-11-09" 36.533291 36.801426 36.285267 36.45285 2062400 28.399187
"2010-11-10" 36.459557 36.801426 36.137794 36.76791 1599646 28.644648
"2010-11-11" 36.372414 36.928791 36.352303 36.922089 2173687 28.764734
"2010-11-12" 36.633842 36.781315 36.365707 36.613731 2540071 28.524519
"2010-11-15" 36.935493 37.491871 36.76791 36.794724 3073535 28.665531
"2010-11-16" 36.506477 36.667358 35.661858 35.876362 3492131 27.95006
"2010-11-17" 35.963509 36.037243 35.594822 35.769112 2088357 27.866518
"2010-11-18" 36.131092 36.814835 36.110981 36.412632 1861306 28.367844
"2010-11-19" 36.419334 36.808128 36.117683 36.781315 2122370 28.655077
"2010-11-22" 37.58572 37.686272 36.741096 37.330994 3503916 29.083313
"2010-11-23" 36.788021 36.948898 36.332191 36.573513 1807154 28.493191
"2010-11-24" 36.828239 38.001328 36.76791 37.967812 2219784 29.579445
"2010-11-26" 37.478466 37.605827 37.150002 37.344398 660415 29.235701
"2010-11-29" 36.995823 37.04945 36.533291 37.015934 2318242 28.978559
"2010-11-30" 36.499775 36.98912 36.359005 36.741096 1790894 28.763399
"2010-12-01" 37.498577 38.108582 37.44495 38.075066 1910386 29.807722
"2010-12-02" 38.189022 38.792324 37.994625 38.731995 1484033 30.322008
"2010-12-03" 38.591225 38.799026 38.423637 38.738697 1359767 30.327257
"2010-12-06" 38.611332 38.671661 38.302979 38.517487 1513123 30.154081
"2010-12-07" 38.939796 39.04705 38.584518 38.618034 1941266 30.232788
"2010-12-08" 38.711884 39.04705 38.624741 38.973312 1476126 30.510918
"2010-12-09" 39.207932 39.321888 38.792324 38.933094 1139877 30.479439
"2010-12-10" 39.114082 39.28167 38.919685 39.181118 1106013 30.673613
"2010-12-13" 39.449253 39.455956 38.725288 38.745399 1780302 30.332512
"2010-12-14" 38.752102 39.053753 38.564407 38.698475 1666031 30.295763
