"Index" "CNC.Open" "CNC.High" "CNC.Low" "CNC.Close" "CNC.Volume" "CNC.Adjusted"
"2008-09-11" 5.9575 6.06 5.88 5.9975 2019200 5.9975
"2008-09-12" 5.9575 6.0775 5.84 6.0725 2005600 6.0725
"2008-09-15" 5.965 6.0675 5.8075 5.85 1685600 5.85
"2008-09-16" 5.765 5.91 5.49 5.6875 2440000 5.6875
"2008-09-17" 5.6375 5.6375 5.165 5.1675 3078000 5.1675
"2008-09-18" 5.2725 5.33 4.8225 5.1525 3580800 5.1525
"2008-09-19" 5.4875 6.1675 4.9025 5.875 4609200 5.875
"2008-09-22" 5.7925 5.875 5.4675 5.6975 1165600 5.6975
"2008-09-23" 5.6825 5.8275 5.5475 5.555 814400 5.555
"2008-09-24" 5.625 5.7475 5.5025 5.5525 581600 5.5525
"2008-09-25" 5.6275 5.7775 5.5325 5.6 2169200 5.6
"2008-09-26" 5.5025 5.7725 5.5025 5.63 725600 5.63
"2008-09-29" 5.6125 5.6125 5.3175 5.39 821600 5.39
"2008-09-30" 5.475 5.475 5.0775 5.1275 1107600 5.1275
"2008-10-01" 5.1275 5.2475 5.1125 5.2125 1220800 5.2125
"2008-10-02" 5.185 5.185 4.8675 4.98 703200 4.98
"2008-10-03" 5.0175 5.395 5.0175 5.32 846400 5.32
"2008-10-06" 5.1625 5.3625 4.73 5.075 1313200 5.075
"2008-10-07" 5.1 5.3925 4.99 4.99 825200 4.99
"2008-10-08" 4.8675 5.1725 4.8125 4.8225 1466400 4.8225
"2008-10-09" 4.8725 4.8725 4.5075 4.6225 2422800 4.6225
"2008-10-10" 4.5225 4.905 4.1075 4.8725 4226800 4.8725
"2008-10-13" 5.0425 5.305 4.855 5.0625 781200 5.0625
"2008-10-14" 5.205 5.3675 4.7975 5.18 2224800 5.18
"2008-10-15" 5.095 5.095 4.6625 4.775 1909200 4.775
