"Index" "KMB.Open" "KMB.High" "KMB.Low" "KMB.Close" "KMB.Volume" "KMB.Adjusted"
"2008-03-26" 62.425694 62.598274 62.003834 62.320229 2540644 36.518764
"2008-03-27" 62.579098 62.607861 61.64909 61.668266 1648357 36.136711
"2008-03-28" 61.792904 61.831257 61.06424 61.43816 1956668 36.001869
"2008-03-31" 61.543625 62.099712 61.025887 61.888783 2079742 36.265938
"2008-04-01" 62.157238 62.799618 61.975071 62.799618 2303257 36.799671
"2008-04-02" 62.521572 63.163952 62.44487 62.86673 1984725 36.839001
"2008-04-03" 62.722916 62.885906 61.888783 62.588688 1472716 36.676067
"2008-04-04" 63.000957 63.000957 62.320229 62.588688 2588830 36.676067
"2008-04-07" 62.847553 62.847553 62.003834 62.320229 1987332 36.518764
"2008-04-08" 62.23394 62.253117 61.831257 62.080536 1909942 36.3783
"2008-04-09" 61.371044 61.42857 60.613613 60.843719 3396217 35.653534
"2008-04-10" 60.901245 61.121765 60.623203 60.843719 3311108 35.653534
"2008-04-11" 60.59444 61.361458 60.59444 60.767017 2396918 35.608589
"2008-04-14" 60.623203 61.629913 60.623203 61.275169 1426303 35.906368
"2008-04-15" 61.543625 61.543625 60.939598 61.22723 1369876 35.878284
"2008-04-16" 61.744965 61.744965 60.64238 60.997124 2130328 35.743439
"2008-04-17" 60.939598 61.198467 60.402683 60.517738 2257156 35.462521
"2008-04-18" 61.294342 61.534035 60.527325 60.728668 3358147 35.586128
"2008-04-21" 61.821667 61.888783 60.834133 61.390221 2671123 35.973785
"2008-04-22" 62.291466 62.291466 61.361458 61.716202 2713156 36.16481
"2008-04-23" 61.697029 61.840843 61.140942 61.351871 2210117 35.951324
"2008-04-24" 61.553211 61.687439 60.824547 61.102589 1915991 35.805237
"2008-04-25" 61.524448 61.524448 60.508148 61.140942 1554174 35.827705
"2008-04-28" 61.265579 61.591564 60.814957 61.275169 1731589 35.906368
"2008-04-29" 61.303932 61.505272 61.025887 61.22723 1941649 35.878284
"2008-04-30" 61.476509 61.946308 61.140942 61.351871 3189181 35.951324
"2008-05-01" 61.208054 62.080536 61.208054 62.07095 1880633 36.372688
"2008-05-02" 62.329819 62.617451 61.572388 61.965485 2634931 36.310886
"2008-05-05" 62.157238 62.157238 61.409397 61.735378 2083288 36.176041
"2008-05-06" 61.591564 62.080536 61.294342 61.907959 2332982 36.277172
"2008-05-07" 61.601151 61.85043 60.556087 60.59444 3584374 35.507469
"2008-05-08" 60.834133 60.862896 60.220516 60.479385 2308472 35.440056
"2008-05-09" 60.345158 60.345158 59.721954 59.779484 2558375 35.029903
"2008-05-12" 60.019176 60.325981 59.386387 60.067116 2619599 35.198463
"2008-05-13" 60.498562 60.920422 60.402683 60.728668 2649533 35.586128
"2008-05-14" 61.121765 61.121765 60.402683 60.488976 2651932 35.445675
"2008-05-15" 60.527325 61.083412 60.095879 61.0163 2292723 35.754669
"2008-05-16" 61.22723 61.22723 60.556087 60.80537 2259034 35.631069
"2008-05-19" 60.709492 61.236816 60.709492 61.131351 1822538 35.822098
"2008-05-20" 61.131351 61.361458 60.930012 61.093002 2399839 35.799618
"2008-05-21" 61.083412 61.447746 60.325981 60.441036 2458560 35.417568
"2008-05-22" 60.556087 61.140942 60.364334 61.073826 2035727 35.78838
"2008-05-23" 60.680729 61.00671 60.115051 60.201344 1820035 35.277126
"2008-05-27" 60.345158 61.00671 60.297218 60.843719 2342682 35.653534
"2008-05-28" 60.949184 61.093002 60.517738 60.824547 1693728 35.642307
"2008-05-29" 60.949184 61.783318 60.79578 61.572388 1761523 36.080544
"2008-05-30" 61.840843 61.840843 61.169704 61.169704 2003707 35.844563
"2008-06-02" 61.054649 61.054649 59.942474 60.383511 2188214 35.383869
"2008-06-03" 60.527325 60.80537 60.364334 60.479385 3567269 35.440056
"2008-06-04" 60.182167 60.776608 59.952061 60.498562 1812317 35.780281
"2008-06-05" 60.59444 60.834133 60.325981 60.680729 1587342 35.888012
"2008-06-06" 60.335571 60.623203 59.539787 59.549377 2582259 35.218906
"2008-06-09" 59.884949 59.884949 59.290508 59.511024 2104148 35.196232
