"Index" "GWW.Open" "GWW.High" "GWW.Low" "GWW.Close" "GWW.Volume" "GWW.Adjusted"
"2021-03-01" 376.119995 390.929993 376.119995 387.820007 256900 376.702148
"2021-03-02" 386.26001 387.549988 382.649994 385.660004 205200 374.604065
"2021-03-03" 386.779999 393.429993 386.190002 387.769989 280700 376.653564
"2021-03-04" 390.149994 390.209991 375.5 378.950012 391000 368.086456
"2021-03-05" 381.630005 399.980011 377.709991 399.109985 489200 387.668457
"2021-03-08" 399.859985 406.200012 397.100006 398.480011 357100 387.05661
"2021-03-09" 401.25 402.279999 387.859985 388.450012 404400 377.314117
"2021-03-10" 390.769989 398.970001 386.600006 395.910004 299300 384.560211
"2021-03-11" 395.910004 395.910004 386.109985 386.670013 338900 375.585144
"2021-03-12" 386.869995 395.480011 386.369995 395.01001 298200 383.686066
"2021-03-15" 395.100006 400.160004 393.040009 399.73999 230700 388.280396
"2021-03-16" 399.190002 399.690002 387.600006 389.459991 285000 378.295135
"2021-03-17" 391.200012 400.859985 388.709991 400.049988 320000 388.581512
"2021-03-18" 400.369995 408.73999 399.600006 404.609985 316100 393.010803
"2021-03-19" 405.529999 405.529999 393.679993 400.540009 680000 389.057556
"2021-03-22" 401.570007 401.670013 394.440002 399.709991 312500 388.251282
"2021-03-23" 397.589996 402.73999 392.109985 394.309998 215200 383.006073
"2021-03-24" 396.390015 400.730011 394.720001 395.390015 236400 384.055145
"2021-03-25" 395.679993 399.649994 390.079987 397.589996 222700 386.192047
"2021-03-26" 398.869995 400.089996 394.980011 399.369995 378100 387.921051
"2021-03-29" 399.160004 404.040009 397.059998 400.170013 229700 388.69812
"2021-03-30" 399.25 402.190002 397.670013 398.670013 189400 387.241119
"2021-03-31" 398.23999 402.950012 395.040009 400.929993 426700 389.43631
"2021-04-01" 402.209991 407.309998 396.220001 406.350006 259300 394.700928
"2021-04-05" 407.690002 408.059998 403.140015 407.649994 258300 395.963623
"2021-04-06" 406.200012 415.279999 406.200012 408.429993 260900 396.721313
"2021-04-07" 410.640015 410.640015 397.75 398.73999 269900 387.309082
"2021-04-08" 398.019989 402.269989 396.410004 397.910004 318400 386.502869
"2021-04-09" 399.970001 401.619995 396.149994 401.619995 304800 390.106598
